"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-10-15;1,12051144782392;1,00681306434978;1,24020463321669
"Burgenland";2020-10-16;1,19992131134134;1,08391835613495;1,32173654183726
"Burgenland";2020-10-17;1,21137164786554;1,09721025325884;1,33110175031709
"Burgenland";2020-10-18;1,08624075565492;0,981096811518151;1,19665980891052
"Burgenland";2020-10-19;1,08887758403248;0,985770920114269;1,19703891314867
"Burgenland";2020-10-20;1,08922156876548;0,987529946378908;1,1958250133065
"Burgenland";2020-10-21;1,13068897507091;1,02828659199673;1,23788224401074
"Burgenland";2020-10-22;1,1906102425192;1,08699299998622;1,29887706316797
"Burgenland";2020-10-23;1,23039049557864;1,12718765572493;1,33804919645449
"Burgenland";2020-10-24;1,38384974284655;1,27721894940267;1,49469457408784
"Burgenland";2020-10-25;1,27496685776282;1,17664841629283;1,37717402294648
"Burgenland";2020-10-26;1,45744745923012;1,35650198892589;1,56196420298564
"Burgenland";2020-10-27;1,49328468952443;1,39591281072224;1,59389284426297
"Burgenland";2020-10-28;1,49316052231663;1,40131126673216;1,58788406246287
"Burgenland";2020-10-29;1,45057468603113;1,36549681274562;1,53818729164158
"Burgenland";2020-10-30;1,40417603537812;1,32535569461625;1,48524091409943
"Burgenland";2020-10-31;1,4608722175818;1,38477622924848;1,53897487343476
"Burgenland";2020-11-01;1,38707054360687;1,31696742341378;1,45896589230594
"Burgenland";2020-11-02;1,38594483677431;1,31955197175028;1,45394436514355
"Burgenland";2020-11-03;1,3748589784851;1,31201963405656;1,43914757122917
"Burgenland";2020-11-04;1,32403078802202;1,26535707107949;1,38401554784146
"Burgenland";2020-11-05;1,28819499010086;1,23293528322635;1,34464909220335
"Burgenland";2020-11-06;1,22722704895206;1,17548894022918;1,28006377034509
"Burgenland";2020-11-07;1,24898470489549;1,19859811314769;1,3003941611112
"Burgenland";2020-11-08;1,17974159999054;1,13237086741041;1,22806938722855
"Burgenland";2020-11-09;1,19726883627647;1,15092031373017;1,24451947836306
"Burgenland";2020-11-10;1,1523103105876;1,10804950454488;1,19742576296497
"Burgenland";2020-11-11;1,09397842681912;1,05189285366792;1,13687793211331
"Burgenland";2020-11-12;1,08744601386523;1,04624774675044;1,12942870556875
"Burgenland";2020-11-13;1,01563472145035;0,976379393641911;1,0556528835049
"Burgenland";2020-11-14;1,05317218946137;1,0135110090129;1,09358392532691
"Burgenland";2020-11-15;1,01197951214943;0,973332994507823;1,05136788172343
"Burgenland";2020-11-16;0,958836539122485;0,921392283531501;0,997016129456494
"Burgenland";2020-11-17;0,968115731833048;0,93045225954887;1,00651598770119
"Burgenland";2020-11-18;0,973443018619037;0,935504316923709;1,01212524667172
"Burgenland";2020-11-19;0,94937828298704;0,911740922844295;0,98776621027894
"Burgenland";2020-11-20;0,935552173914107;0,897978532232453;0,973885098964481
"Burgenland";2020-11-21;0,936992736910094;0,89908695567294;0,975670211780703
"Burgenland";2020-11-22;0,875128798794193;0,838165448768979;0,912878536427346
"Burgenland";2020-11-23;0,843549456056735;0,806771292595178;0,881135855517737
"Burgenland";2020-11-24;0,891966614880004;0,853375542712792;0,931399119862172
"Burgenland";2020-11-25;0,904960617167101;0,8652860562419;0,945512011422837
"Burgenland";2020-11-26;0,939849142520244;0,898717778059515;0,981887895616344
"Burgenland";2020-11-27;0,868889305874769;0,828855249549421;0,909854287071467
"Burgenland";2020-11-28;0,868179803503861;0,827584039887582;0,909733917461151
"Burgenland";2020-11-29;0,893600875333981;0,851634799866918;0,936562060634809
"Burgenland";2020-11-30;0,892354296998598;0,849632412422623;0,936109383094354
"Burgenland";2020-12-01;0,885324019435563;0,842040729962177;0,929676822670331
"Burgenland";2020-12-02;0,923299670203982;0,878329370978769;0,969376888661103
"Burgenland";2020-12-03;0,886015451266176;0,841311050783593;0,931860777801681
"Burgenland";2020-12-04;0,86034011015163;0,815637298573949;0,906218724589577
"Burgenland";2020-12-05;0,846514287594526;0,801357092099648;0,89289177930389
"Burgenland";2020-12-06;0,884119529433199;0,83693857559477;0,932575960109269
"Burgenland";2020-12-07;0,858781240759757;0,811300424949515;0,907593233828691
"Burgenland";2020-12-08;0,811557082389172;0,764468938523454;0,86003262477648
"Burgenland";2020-12-09;0,797378012927069;0,749556235132396;0,846657679712333
"Burgenland";2020-12-10;0,860960774918925;0,809761737607085;0,913707071971396
"Burgenland";2020-12-11;0,861067972987654;0,808441835073004;0,91533002710379
"Burgenland";2020-12-12;0,905343731410325;0,850093336178839;0,962309001244898
"Burgenland";2020-12-13;0,849236831196286;0,794742688616986;0,905512353822553
"Burgenland";2020-12-14;0,814234635458611;0,759872556323712;0,870448186706235
"Burgenland";2020-12-15;0,81340340432322;0,757733438575069;0,871018691926073
"Burgenland";2020-12-16;0,800519238293852;0,743722514986677;0,859376124766572
"Burgenland";2020-12-17;0,851281194499327;0,790882917796285;0,913870271968339

"Burgenland";2020-12-18;0,89862106644067;0,834778826597527;0,964782238631692
"Burgenland";2020-12-19;0,960211486642946;0,89275597666917;1,03008878095961
"Burgenland";2020-12-20;0,926346304857628;0,859266221504226;0,995911663642207
"Burgenland";2020-12-21;0,952300447031406;0,883626661677882;1,02350761170902
"Burgenland";2020-12-22;0,981613086199383;0,911260426105394;1,05454451178532
"Burgenland";2020-12-23;0,936762783000153;0,867668313922055;1,00846655725878
"Burgenland";2020-12-24;0,986512671063743;0,915125314632104;1,06054297885635
"Burgenland";2020-12-25;0,91436625218857;0,845310805828755;0,986094379223087
"Burgenland";2020-12-26;0,911463995082811;0,841994174798275;0,983648274968279
"Burgenland";2020-12-27;0,93355089973401;0,8623976632037;1,00748437357091
"Burgenland";2020-12-28;0,92644800230523;0,854721889321359;1,00102276941196
"Burgenland";2020-12-29;1,04150678031668;0,964519765368284;1,12140771369481
"Burgenland";2020-12-30;1,04028832296694;0,963054949206031;1,12045822879621
"Burgenland";2020-12-31;1,04339822540048;0,966327205347126;1,12338415058906
"Burgenland";2021-01-01;1,00819714289528;0,932904786605011;1,08636978056128
"Burgenland";2021-01-02;1,0347361595907;0,95874341829316;1,11358589979066
"Burgenland";2021-01-03;1,04118066602874;0,965201943873664;1,1199969572673
"Burgenland";2021-01-04;1,05933092892695;0,983043861705649;1,13842821272239
"Burgenland";2021-01-05;1,10934239355931;1,03176448666918;1,18969237748942
"Burgenland";2021-01-06;1,08314762233029;1,00735244527868;1,16165299480957
"Burgenland";2021-01-07;1,10674565174983;1,03109288485041;1,18503862628727
"Burgenland";2021-01-08;1,0820926592431;1,00830741722511;1,15844635955426
"Burgenland";2021-01-09;1,05240011213574;0,980595320676461;1,12670601751703
"Burgenland";2021-01-10;1,01552975610861;0,945722399011191;1,08778749245686
"Burgenland";2021-01-11;0,97460911938463;0,906629192626295;1,04501166228926
"Burgenland";2021-01-12;0,929489968088422;0,863143368859532;0,998258251075495
"Burgenland";2021-01-13;0,949950249419036;0,882461344554297;1,01989054391231
"Burgenland";2021-01-14;0,944157568449144;0,876304381676743;1,01450495856206
"Burgenland";2021-01-15;0,944449505273007;0,876010927635227;1,01542552078388
"Burgenland";2021-01-16;0,934889225176828;0,866229408495806;1,0061303544615
"Burgenland";2021-01-17;0,917536652175599;0,848913265047202;0,98878924643683
"Burgenland";2021-01-18;0,866970144717095;0,79958030620935;0,937047566321658
"Burgenland";2021-01-19;0,871209050382367;0,80260379097002;0,942587649092464
"Burgenland";2021-01-20;0,888994013732975;0,818345598246542;0,962525681157163
"Burgenland";2021-01-21;0,922141907578838;0,848797705968922;0,998481998171829
"Burgenland";2021-01-22;0,899339359115155;0,825804664262722;0,975965526541998
"Burgenland";2021-01-23;1,00114009702896;0,922367943937473;1,08309385524284
"Burgenland";2021-01-24;0,98422512013757;0,905478672152062;1,06620801006985
"Burgenland";2021-01-25;0,992033302551411;0,912729508247154;1,07459356168548
"Burgenland";2021-01-26;0,976514777704522;0,897712512808429;1,05858485630015
"Burgenland";2021-01-27;0,972528212447351;0,893706070783485;1,05463382942568
"Burgenland";2021-01-28;0,967428582410709;0,888536457849666;1,04962822982305
